Date,Stocks,Price,Change
2016-09-20,COST,152.17,+0.38
2016-09-20,ATVI,44.40,+0.28
2016-09-19,MSFT,56.93,-0.32
2016-09-20,GE,29.67,+0.24
2016-09-20,BA,127.92,+0.44
2016-09-19,AMD,6.16,+0.11
2016-09-19,UPS,107.12,+0.26
2016-09-19,FB,128.65,-0.42
2016-09-19,AMZN,775.10,-3.42
2016-09-20,PCG,63.085,+0.415
2016-09-20,AAPL,113.86,+0.28
2016-09-20,AMC,31.80,-0.04
2016-09-19,NFLX,98.06,-1.42
2016-09-19,WMT,72.09,-0.78
2016-09-20,FDX,163.22,+1.96
